,Recode: Race/ethnicity,,,,,,,,
Student: Full Congressional district,White,Black,Hispanic,Asian,Pacific Islander,Native American,Two or more,No response/Missing,Total
,N,N,N,N,N,N,N,N,N
TX-24,1978,920,1131,4029
TX-25,1444,387,309,2140
TX-26,5304,725,1283,7312
TX-27,1068,397,450,1915
TX-28,956,904,262,2122
TX-29,736,1046,635,2417
TX-3,5910,641,1612,8163
TX-30,652,502,449,1603
TX-31,3103,525,661,4289
TX-32,1002,344,696,2042
TX-33,726,1399,917,3042
TX-34,1528,1107,764,3399
TX-35,2103,1118,1543,4764
TX-36,785,322,255,1362
TX-4,2701,1026,533,4260
TX-5,2491,2322,1613,6426
TX-6,3180,1098,1182,5460
TX-7,4156,861,1422,6439
TX-8,2125,433,539,3097
TX-9,386,289,156,831
UT-1,5126,1785,2119,9030
UT-2,7403,3276,2058,12737
UT-3,8861,1832,2880,13573
UT-4,2891,876,429,4196
VA-1,1460,185,348,1993
VA-10,4379,330,1723,6432
VA-11,1238,213,431,1882
VA-2,922,113,239,1274
VA-3,1785,425,405,2615
VA-4,1600,223,366,2189
VA-5,873,159,476,1508
VA-6,1328,245,334,1907
VA-7,1602,181,459,2242
VA-8,1135,234,463,1832
VA-9,604,155,152,911
VT-A,1440,243,499,2182
WA-1,1609,254,544,2407
WA-10,1082,461,408,1951
WA-2,666,156,393,1215
WA-3,833,198,201,1232
WA-4,826,782,394,2002
WA-5,875,134,266,1275
WA-6,762,116,238,1116
WA-7,1161,114,557,1832
WA-8,500,107,135,742
WA-9,1784,365,965,3114
WI-1,3326,938,489,4753
WI-2,4968,1159,923,7050
WI-3,2837,846,324,4007
WI-4,3943,2014,2018,7975
WI-5,4815,876,817,6508
WI-6,2610,821,426,3857
WI-7,3942,1229,507,5678
WI-8,4582,1436,663,6681
WV-1,2467,794,247,3508
WV-2,2560,1089,322,3971
WV-3,2224,1193,221,3638
WY-A,3813,1472,779,6064
,6428,3226,4210,13864
Total,1147811,421607,354173,1923591

,Recode: Family income ($36k or less),,,
Student: Full Congressional district,No,Yes,,Total
,N,N,N,N
AK-A,1489,402,1014,2905
AL-1,3750,2732,1437,7919
AL-2,2939,2012,1083,6034
AL-3,3968,3297,1154,8419
AL-4,2869,2231,682,5782
AL-5,4931,2527,1232,8690
AL-6,4091,1913,1020,7024
AL-7,4728,4524,1796,11048
AR-1,2422,2057,1046,5525
AR-2,4176,2067,1561,7804
AR-3,2905,1447,963,5315
AR-4,3645,2929,1519,8093
AZ-1,2166,1163,893,4222
AZ-2,1533,959,1678,4170
AZ-3,368,593,644,1605
AZ-4,1377,822,1159,3358
AZ-5,2657,468,960,4085
AZ-6,2372,763,1733,4868
AZ-7,1735,2992,1876,6603
AZ-8,1937,690,1576,4203
AZ-9,690,381,586,1657
CA-1,718,317,342,1377
CA-10,1039,449,416,1904
CA-11,2376,446,1885,4707
CA-12,377,276,565,1218
CA-13,768,556,866,2190
CA-14,1660,497,1713,3870
CA-15,732,180,581,1493
CA-16,896,1006,855,2757
CA-17,1688,464,1773,3925
CA-18,1373,181,1357,2911
CA-19,346,227,325,898
CA-2,693,198,652,1543
CA-20,992,419,638,2049
CA-21,989,683,781,2453
CA-22,625,399,360,1384
CA-23,187,67,77,331
CA-24,1228,444,716,2388
CA-25,1369,491,714,2574
CA-26,949,283,605,1837
CA-27,1239,695,1292,3226
CA-28,662,688,700,2050
CA-29,118,225,131,474
CA-3,623,265,284,1172
CA-30,1412,665,1396,3473
CA-31,1221,973,712,2906
CA-32,415,331,193,939
CA-33,1209,350,1210,2769
CA-34,163,494,347,1004
CA-35,743,726,510,1979
CA-36,486,454,250,1190
CA-37,936,1465,1695,4096
CA-38,1168,977,1130,3275
CA-39,1302,556,932,2790
CA-4,1514,207,789,2510
CA-40,348,749,443,1540
CA-41,1222,976,584,2782
CA-42,985,330,471,1786
CA-43,443,584,425,1452
CA-44,591,1049,1149,2789
CA-45,2573,487,2185,5245
CA-46,113,83,70,266
CA-47,1428,1004,1076,3508
CA-48,1100,550,959,2609
CA-49,1446,264,1259,2969
CA-5,1069,254,660,1983
CA-50,2484,750,1420,4654
CA-51,410,561,201,1172
CA-52,790,129,595,1514
CA-53,1286,867,789,2942
CA-6,1467,1021,1213,3701
CA-7,1072,261,501,1834
CA-8,503,358,174,1035
CA-9,886,531,354,1771
CO-1,2184,1876,2196,6256
CO-2,4792,1266,1736,7794
CO-3,3277,1911,2026,7214
CO-4,3574,1660,1425,6659
CO-5,4670,1664,2504,8838
CO-6,7487,2666,3607,13760
CO-7,3042,1193,1892,6127
CT-1,955,174,838,1967
CT-2,1262,151,888,2301
CT-3,997,184,929,2110
CT-4,1395,207,2313,3915
CT-5,1136,130,1121,2387
DC-A,317,208,704,1229
DE-A,877,143,599,1619
FL-1,2743,1312,1337,5392
FL-10,3319,2938,2901,9158
FL-11,1459,1094,970,3523
FL-12,2142,876,1325,4343
FL-13,1067,597,703,2367
FL-14,2073,1675,2213,5961
FL-15,1806,814,1213,3833
FL-16,1773,1037,1304,4114
FL-17,855,758,582,2195
FL-18,1403,925,1255,3583
FL-19,1578,1194,1372,4144
FL-2,1833,1098,998,3929
FL-20,2157,2970,2811,7938
FL-21,3006,1867,3033,7906
FL-22,485,289,687,1461
FL-23,2106,1758,2282,6146
FL-24,503,1474,892,2869
FL-25,2521,2797,3062,8380
FL-26,2084,2008,1959,6051
FL-27,851,1084,1263,3198
FL-3,1737,901,1216,3854
FL-4,1482,627,1017,3126
FL-5,1987,1936,1873,5796
FL-6,2213,1078,1695,4986
FL-7,2269,1026,1691,4986
FL-8,3298,1677,1596,6571
FL-9,1268,1450,1217,3935
GA-1,1248,767,673,2688
GA-10,1750,810,960,3520
GA-11,1101,268,508,1877
GA-12,1499,872,868,3239
GA-13,3215,2254,1765,7234
GA-14,2163,1062,938,4163
GA-2,1576,1422,866,3864
GA-3,1426,626,812,2864
GA-4,3116,2059,1781,6956
GA-5,631,616,848,2095
GA-6,3920,780,3172,7872
GA-7,410,345,292,1047
GA-8,825,525,495,1845
GA-9,2799,1029,1440,5268
HI-1,2836,1644,1570,6050
HI-2,1972,1394,2347,5713
IA-1,3602,657,844,5103
IA-2,3572,769,884,5225
IA-3,4105,742,2220,7067
IA-4,3532,746,838,5116
ID-1,1421,463,689,2573
ID-2,2887,656,1250,4793
IL-1,772,1142,984,2898
IL-10,994,209,1401,2604
IL-11,8967,3103,5171,17241
IL-12,3895,2010,1631,7536
IL-13,3415,1282,2229,6926
IL-14,9852,2978,4884,17714
IL-15,4639,1996,2762,9397
IL-16,3899,1887,2890,8676
IL-17,3224,1724,2130,7078
IL-18,3005,932,1075,5012
IL-2,4613,3915,4401,12929
IL-3,3864,2009,2351,8224
IL-4,5485,7261,6365,19111
IL-5,513,446,379,1338
IL-6,643,92,660,1395
IL-7,734,813,693,2240
IL-8,8578,3429,4902,16909
IL-9,4178,1603,2933,8714
IN-1,2625,913,1075,4613
IN-2,1264,322,442,2028
IN-3,1636,386,678,2700
IN-4,1294,278,497,2069
IN-5,3496,774,1702,5972
IN-6,1362,319,544,2225
IN-7,908,619,492,2019
IN-8,1508,402,453,2363
IN-9,1932,554,877,3363
KS-1,3758,1274,895,5927
KS-2,2874,860,818,4552
KS-3,4510,1239,2081,7830
KS-4,3261,1063,1279,5603
KY-1,3351,2399,989,6739
KY-2,6215,3746,2008,11969
KY-3,2506,2048,1097,5651
KY-4,5883,2309,2037,10229
KY-5,3136,3401,1032,7569
KY-6,3677,2053,1241,6971
LA-1,2825,1328,1063,5216
LA-2,4793,4318,3375,12486
LA-3,4367,2722,1511,8600
LA-4,3114,2397,1348,6859
LA-5,3977,3351,1923,9251
LA-6,3463,1525,1151,6139
MA-1,608,116,494,1218
MA-2,912,147,732,1791
MA-3,1142,168,1261,2571
MA-4,1451,152,1793,3396
MA-5,1298,180,1735,3213
MA-6,1340,163,1320,2823
MA-7,327,225,489,1041
MA-8,910,130,778,1818
MA-9,734,79,607,1420
MD-1,652,116,397,1165
MD-2,1181,263,944,2388
MD-3,597,123,569,1289
MD-4,1462,357,993,2812
MD-5,1188,210,538,1936
MD-6,545,204,358,1107
MD-7,249,47,268,564
MD-8,2175,364,2261,4800
ME-1,506,62,413,981
ME-2,200,59,129,388
MI-1,3715,1935,1537,7187
MI-10,5885,2055,1611,9551
MI-11,5116,919,1098,7133
MI-12,4772,2586,2356,9714
MI-13,1757,2174,910,4841
MI-14,3573,3908,2176,9657
MI-2,3837,1620,1874,7331
MI-3,6604,2850,3394,12848
MI-4,4405,2178,1754,8337
MI-5,1722,1541,924,4187
MI-6,3450,1952,2026,7428
MI-7,3385,1397,1422,6204
MI-8,7067,1986,3411,12464
MI-9,4914,2226,3684,10824
MN-1,3286,731,840,4857
MN-2,4724,688,1636,7048
MN-3,3518,473,2007,5998
MN-4,2505,976,2364,5845
MN-5,2536,1230,2418,6184
MN-6,6164,786,1772,8722
MN-7,3018,578,705,4301
MN-8,2628,623,535,3786
MO-1,1768,2020,1217,5005
MO-2,4393,893,2211,7497
MO-3,6936,1733,1876,10545
MO-4,3549,1254,938,5741
MO-5,1169,937,906,3012
MO-6,5177,1631,1394,8202
MO-7,2851,1249,921,5021
MO-8,2163,1323,736,4222
MS-1,3386,2782,1591,7759
MS-2,1742,2719,806,5267
MS-3,3507,3255,2016,8778
MS-4,3395,2647,1395,7437
MT-A,4945,2128,2418,9491
NC-1,1901,1991,1474,5366
NC-10,4317,2921,1813,9051
NC-11,2494,2061,777,5332
NC-12,929,867,586,2382
NC-13,1303,352,664,2319
NC-2,1442,693,527,2662
NC-3,4539,3344,1743,9626
NC-4,8512,4033,4256,16801
NC-5,2016,1158,516,3690
NC-6,4991,3128,2443,10562
NC-7,3784,2558,1498,7840
NC-8,3931,3376,1704,9011
NC-9,7321,3125,4219,14665
ND-A,4062,1061,2039,7162
NE-1,3555,1130,1218,5903
NE-2,4286,1282,1339,6907
NE-3,3225,1294,942,5461
NH-1,894,105,767,1766
NH-2,749,88,571,1408
NJ-1,522,164,478,1164
NJ-10,763,752,748,2263
NJ-11,1390,111,1405,2906
NJ-12,949,117,917,1983
NJ-2,907,190,511,1608
NJ-3,957,109,618,1684
NJ-4,1198,188,1021,2407
NJ-5,1791,175,2026,3992
NJ-6,1126,218,1130,2474
NJ-7,2553,247,2997,5797
NJ-8,685,871,530,2086
NJ-9,858,259,783,1900
NM-1,2304,875,808,3987
NM-2,2426,2096,917,5439
NM-3,1770,1094,698,3562
NV-1,158,221,123,502
NV-2,1599,672,821,3092
NV-3,1639,531,824,2994
NV-4,1239,706,626,2571
NY-1,1385,199,1245,2829
NY-10,133,90,252,475
NY-11,850,366,756,1972
NY-12,157,27,374,558
NY-13,378,407,968,1753
NY-14,332,336,480,1148
NY-15,199,347,658,1204
NY-16,728,218,957,1903
NY-17,1633,249,2263,4145
NY-18,1838,239,1607,3684
NY-19,666,146,483,1295
NY-2,1889,270,1482,3641
NY-20,1509,137,1062,2708
NY-21,989,227,492,1708
NY-22,1099,235,634,1968
NY-23,971,202,458,1631
NY-24,1283,195,714,2192
NY-25,1564,220,1101,2885
NY-26,1228,265,792,2285
NY-27,1490,196,801,2487
NY-3,2989,396,4010,7395
NY-4,1268,183,1481,2932
NY-5,789,434,813,2036
NY-6,252,185,315,752
NY-7,353,434,606,1393
NY-8,34,16,38,88
NY-9,469,414,641,1524
OH-1,6182,1972,2795,10949
OH-10,1970,808,858,3636
OH-11,897,998,1178,3073
OH-12,4694,911,1865,7470
OH-13,3258,1437,1327,6022
OH-14,3763,928,1923,6614
OH-15,1855,594,539,2988
OH-16,3855,1241,1541,6637
OH-2,1884,550,797,3231
OH-3,4253,1744,1929,7926
OH-4,2940,878,787,4605
OH-5,3387,793,915,5095
OH-6,2497,1070,632,4199
OH-7,5939,1598,1779,9316
OH-8,3820,959,1188,5967
OH-9,1711,1031,934,3676
OK-1,4136,1626,1899,7661
OK-2,2588,1699,875,5162
OK-3,2936,1254,967,5157
OK-4,3940,1471,1411,6822
OK-5,2895,1428,1491,5814
OR-1,2657,889,1921,5467
OR-2,1103,448,439,1990
OR-3,1459,589,1942,3990
OR-4,699,334,381,1414
OR-5,628,244,275,1147
PA-1,157,121,215,493
PA-10,765,143,361,1269
PA-11,446,63,215,724
PA-12,1069,168,679,1916
PA-13,1178,388,1229,2795
PA-14,188,91,235,514
PA-15,1000,188,596,1784
PA-16,831,104,507,1442
PA-17,289,84,213,586
PA-18,1778,243,1155,3176
PA-2,582,382,1171,2135
PA-3,1040,221,681,1942
PA-4,951,126,509,1586
PA-5,694,194,353,1241
PA-6,2058,209,1586,3853
PA-7,527,104,368,999
PA-8,1270,135,961,2366
PA-9,451,107,188,746
RI-1,349,60,401,810
RI-2,520,129,450,1099
SC-1,1340,421,663,2424
SC-2,2596,1117,1176,4889
SC-3,1291,588,687,2566
SC-4,2152,716,1503,4371
SC-5,1411,640,591,2642
SC-6,2117,1431,1423,4971
SC-7,1411,1049,737,3197
SD-A,4309,1169,1136,6614
TN-1,2708,1782,1337,5827
TN-2,3237,1536,1666,6439
TN-3,4190,2555,2589,9334
TN-4,2762,1327,1145,5234
TN-5,2802,1918,1655,6375
TN-6,3935,2242,1652,7829
TN-7,5586,2418,2924,10928
TN-8,2968,1985,1104,6057
TN-9,3730,3867,2489,10086
TX-1,1211,618,686,2515
TX-10,345,115,210,670
TX-11,1136,439,447,2022
TX-12,864,180,493,1537
TX-13,1784,619,799,3202
TX-14,953,299,452,1704
TX-15,2269,3003,3599,8871
TX-16,905,836,1222,2963
TX-17,1123,517,518,2158
TX-18,182,170,221,573
TX-19,2011,1008,710,3729
TX-2,1915,579,1258,3752
TX-20,142,96,173,411
TX-21,1376,296,1182,2854
TX-22,3186,889,1800,5875
TX-23,2635,1119,2077,5831
TX-24,1616,884,1529,4029
TX-25,1200,339,601,2140
TX-26,4301,694,2317,7312
TX-27,862,423,630,1915
TX-28,766,922,434,2122
TX-29,715,818,884,2417
TX-3,4535,812,2816,8163
TX-30,473,598,532,1603
TX-31,2533,586,1170,4289
TX-32,742,352,948,2042
TX-33,806,1157,1079,3042
TX-34,1117,1193,1089,3399
TX-35,1742,1031,1991,4764
TX-36,674,280,408,1362
TX-4,2246,1036,978,4260
TX-5,2246,2080,2100,6426
TX-6,2694,1121,1645,5460
TX-7,2979,945,2515,6439
TX-8,1666,408,1023,3097
TX-9,281,328,222,831
UT-1,4756,1540,2734,9030
UT-2,6769,2939,3029,12737
UT-3,7543,2091,3939,13573
UT-4,2740,792,664,4196
VA-1,1211,179,603,1993
VA-10,3239,305,2888,6432
VA-11,949,200,733,1882
VA-2,747,146,381,1274
VA-3,1249,667,699,2615
VA-4,1280,289,620,2189
VA-5,683,192,633,1508
VA-6,1093,258,556,1907
VA-7,1218,177,847,2242
VA-8,847,248,737,1832
VA-9,504,170,237,911
VT-A,1119,245,818,2182
WA-1,1260,218,929,2407
WA-10,937,436,578,1951
WA-2,552,142,521,1215
WA-3,714,176,342,1232
WA-4,840,600,562,2002
WA-5,682,186,407,1275
WA-6,616,127,373,1116
WA-7,829,167,836,1832
WA-8,422,95,225,742
WA-9,1272,411,1431,3114
WI-1,3106,745,902,4753
WI-2,4512,1024,1514,7050
WI-3,2715,683,609,4007
WI-4,3168,2168,2639,7975
WI-5,4365,625,1518,6508
WI-6,2531,569,757,3857
WI-7,3801,972,905,5678
WI-8,4558,902,1221,6681
WV-1,2256,776,476,3508
WV-2,2397,991,583,3971
WV-3,1978,1208,452,3638
WY-A,3397,1386,1281,6064
,4797,3875,5192,13864
Total,944890,440230,538471,1923591

,Recode: ACT Composite score [categorical],,,
Student: Full Congressional district,Less than 19,19 to 23,24 or higher,Total
,N,N,N,N
AK-A,1003,915,987,2905
AL-1,4180,2232,1507,7919
AL-2,3196,1737,1101,6034
AL-3,4751,2285,1383,8419
AL-4,3166,1686,930,5782
AL-5,3557,2575,2558,8690
AL-6,3007,2185,1832,7024
AL-7,6723,2555,1770,11048
AR-1,2517,1882,1126,5525
AR-2,2840,2650,2314,7804
AR-3,1531,2002,1782,5315
AR-4,3565,2637,1891,8093
AZ-1,1810,1304,1108,4222
AZ-2,2108,1170,892,4170
AZ-3,1187,303,115,1605
AZ-4,1732,948,678,3358
AZ-5,960,1417,1708,4085
AZ-6,1126,1471,2271,4868
AZ-7,4420,1457,726,6603
AZ-8,1815,1420,968,4203
AZ-9,627,511,519,1657
CA-1,374,440,563,1377
CA-10,577,712,615,1904
CA-11,694,1208,2805,4707
CA-12,364,332,522,1218
CA-13,822,624,744,2190
CA-14,686,1039,2145,3870
CA-15,335,415,743,1493
CA-16,1424,837,496,2757
CA-17,476,719,2730,3925
CA-18,225,638,2048,2911
CA-19,234,280,384,898
CA-2,183,430,930,1543
CA-20,659,643,747,2049
CA-21,1052,819,582,2453
CA-22,496,437,451,1384
CA-23,76,110,145,331
CA-24,463,729,1196,2388
CA-25,604,835,1135,2574
CA-26,324,555,958,1837
CA-27,589,858,1779,3226
CA-28,782,629,639,2050
CA-29,255,139,80,474
CA-3,309,402,461,1172
CA-30,716,994,1763,3473
CA-31,1188,998,720,2906
CA-32,381,312,246,939
CA-33,345,641,1783,2769
CA-34,607,247,150,1004
CA-35,825,682,472,1979
CA-36,510,399,281,1190
CA-37,2269,956,871,4096
CA-38,1220,1112,943,3275
CA-39,508,815,1467,2790
CA-4,305,789,1416,2510
CA-40,953,442,145,1540
CA-41,1239,949,594,2782
CA-42,517,659,610,1786
CA-43,746,462,244,1452
CA-44,1753,755,281,2789
CA-45,535,1354,3356,5245
CA-46,98,88,80,266
CA-47,998,1055,1455,3508
CA-48,601,757,1251,2609
CA-49,298,782,1889,2969
CA-5,433,618,932,1983
CA-50,810,1599,2245,4654
CA-51,537,427,208,1172
CA-52,146,443,925,1514
CA-53,938,1077,927,2942
CA-6,1407,1135,1159,3701
CA-7,272,601,961,1834
CA-8,409,377,249,1035
CA-9,575,631,565,1771
CO-1,3209,1624,1423,6256
CO-2,2092,2322,3380,7794
CO-3,3287,2273,1654,7214
CO-4,2808,2159,1692,6659
CO-5,3222,2897,2719,8838
CO-6,4982,4061,4717,13760
CO-7,2414,1896,1817,6127
CT-1,389,582,996,1967
CT-2,287,738,1276,2301
CT-3,404,649,1057,2110
CT-4,449,960,2506,3915
CT-5,311,743,1333,2387
DC-A,680,223,326,1229
DE-A,363,492,764,1619
FL-1,1817,1784,1791,5392
FL-10,4788,2457,1913,9158
FL-11,1684,1032,807,3523
FL-12,1531,1440,1372,4343
FL-13,986,725,656,2367
FL-14,2939,1529,1493,5961
FL-15,1477,1193,1163,3833
FL-16,1653,1235,1226,4114
FL-17,1155,647,393,2195
FL-18,1703,982,898,3583
FL-19,1777,1339,1028,4144
FL-2,1686,1191,1052,3929
FL-20,4818,1828,1292,7938
FL-21,3391,2252,2263,7906
FL-22,588,381,492,1461
FL-23,2770,1819,1557,6146
FL-24,1757,759,353,2869
FL-25,4351,2374,1655,8380
FL-26,2916,1788,1347,6051
FL-27,1348,850,1000,3198
FL-3,1685,1177,992,3854
FL-4,1199,1015,912,3126
FL-5,3511,1416,869,5796
FL-6,1947,1532,1507,4986
FL-7,1893,1459,1634,4986
FL-8,2431,2171,1969,6571
FL-9,2456,993,486,3935
GA-1,1117,917,654,2688
GA-10,1257,1185,1078,3520
GA-11,416,743,718,1877
GA-12,1418,1072,749,3239
GA-13,3479,2383,1372,7234
GA-14,1483,1659,1021,4163
GA-2,2066,1116,682,3864
GA-3,968,1065,831,2864
GA-4,3151,2192,1613,6956
GA-5,832,452,811,2095
GA-6,1129,2262,4481,7872
GA-7,375,351,321,1047
GA-8,880,622,343,1845
GA-9,1523,1891,1854,5268
HI-1,3030,1758,1262,6050
HI-2,3589,1320,804,5713
IA-1,1013,2018,2072,5103
IA-2,1153,2063,2009,5225
IA-3,2022,2575,2470,7067
IA-4,1130,2090,1896,5116
ID-1,588,929,1056,2573
ID-2,1023,1675,2095,4793
IL-1,1883,687,328,2898
IL-10,427,572,1605,2604
IL-11,5249,5369,6623,17241
IL-12,3487,2189,1860,7536
IL-13,2776,2089,2061,6926
IL-14,5178,5707,6829,17714
IL-15,3846,3138,2413,9397
IL-16,3642,2889,2145,8676
IL-17,3171,2302,1605,7078
IL-18,1778,1720,1514,5012
IL-2,7184,3636,2109,12929
IL-3,3349,2550,2325,8224
IL-4,10210,5441,3460,19111
IL-5,617,412,309,1338
IL-6,206,332,857,1395
IL-7,1258,507,475,2240
IL-8,5170,5074,6665,16909
IL-9,1933,2271,4510,8714
IN-1,1595,1580,1438,4613
IN-2,428,743,857,2028
IN-3,587,944,1169,2700
IN-4,433,742,894,2069
IN-5,1289,1843,2840,5972
IN-6,533,881,811,2225
IN-7,840,662,517,2019
IN-8,552,903,908,2363
IN-9,982,1171,1210,3363
KS-1,1688,2353,1886,5927
KS-2,1169,1841,1542,4552
KS-3,1835,2372,3623,7830
KS-4,1713,2114,1776,5603
KY-1,3110,2252,1377,6739
KY-2,5145,3916,2908,11969
KY-3,2789,1555,1307,5651
KY-4,3485,3371,3373,10229
KY-5,3910,2394,1265,7569
KY-6,2812,2126,2033,6971
LA-1,1809,1915,1492,5216
LA-2,6298,3797,2391,12486
LA-3,3975,3019,1606,8600
LA-4,3449,2248,1162,6859
LA-5,4877,2914,1460,9251
LA-6,2183,2218,1738,6139
MA-1,198,431,589,1218
MA-2,283,528,980,1791
MA-3,329,728,1514,2571
MA-4,333,880,2183,3396
MA-5,356,821,2036,3213
MA-6,403,907,1513,2823
MA-7,363,334,344,1041
MA-8,261,563,994,1818
MA-9,229,482,709,1420
MD-1,208,395,562,1165
MD-2,618,734,1036,2388
MD-3,312,350,627,1289
MD-4,1054,858,900,2812
MD-5,688,686,562,1936
MD-6,323,382,402,1107
MD-7,145,123,296,564
MD-8,809,1255,2736,4800
ME-1,128,285,568,981
ME-2,46,125,217,388
MI-1,2881,2494,1812,7187
MI-10,3785,3331,2435,9551
MI-11,1751,2182,3200,7133
MI-12,4112,2965,2637,9714
MI-13,3202,1142,497,4841
MI-14,6072,2057,1528,9657
MI-2,2888,2500,1943,7331
MI-3,5168,4243,3437,12848
MI-4,3690,2738,1909,8337
MI-5,2355,1218,614,4187
MI-6,3109,2450,1869,7428
MI-7,2702,2072,1430,6204
MI-8,4022,4160,4282,12464
MI-9,4554,3180,3090,10824
MN-1,1033,1863,1961,4857
MN-2,1079,2555,3414,7048
MN-3,836,1805,3357,5998
MN-4,2084,1564,2197,5845
MN-5,2257,1649,2278,6184
MN-6,1352,3362,4008,8722
MN-7,927,1811,1563,4301
MN-8,706,1516,1564,3786
MO-1,3043,1260,702,5005
MO-2,1201,2192,4104,7497
MO-3,2358,4125,4062,10545
MO-4,1575,2303,1863,5741
MO-5,1447,881,684,3012
MO-6,2120,3312,2770,8202
MO-7,1288,1996,1737,5021
MO-8,1447,1656,1119,4222
MS-1,3974,2433,1352,7759
MS-2,3491,1277,499,5267
MS-3,4746,2512,1520,8778
MS-4,3409,2452,1576,7437
MT-A,3687,3255,2549,9491
NC-1,3628,1217,521,5366
NC-10,4625,2657,1769,9051
NC-11,2720,1614,998,5332
NC-12,1427,561,394,2382
NC-13,923,715,681,2319
NC-2,1215,801,646,2662
NC-3,5344,2749,1533,9626
NC-4,7603,4351,4847,16801
NC-5,1696,1145,849,3690
NC-6,5545,2937,2080,10562
NC-7,4581,2121,1138,7840
NC-8,5645,2271,1095,9011
NC-9,6417,4048,4200,14665
ND-A,2606,2557,1999,7162
NE-1,1769,2133,2001,5903
NE-2,2053,2276,2578,6907
NE-3,1807,2084,1570,5461
NH-1,205,566,995,1766
NH-2,197,469,742,1408
NJ-1,413,355,396,1164
NJ-10,1222,512,529,2263
NJ-11,331,828,1747,2906
NJ-12,282,518,1183,1983
NJ-2,359,598,651,1608
NJ-3,288,606,790,1684
NJ-4,417,827,1163,2407
NJ-5,553,1256,2183,3992
NJ-6,546,745,1183,2474
NJ-7,579,1506,3712,5797
NJ-8,1212,537,337,2086
NJ-9,444,612,844,1900
NM-1,1084,1477,1426,3987
NM-2,2815,1822,802,5439
NM-3,1643,1122,797,3562
NV-1,247,169,86,502
NV-2,1056,1057,979,3092
NV-3,733,1129,1132,2994
NV-4,1080,912,579,2571
NY-1,487,1048,1294,2829
NY-10,53,109,313,475
NY-11,381,644,947,1972
NY-12,44,88,426,558
NY-13,636,408,709,1753
NY-14,240,333,575,1148
NY-15,714,318,172,1204
NY-16,467,520,916,1903
NY-17,515,1158,2472,4145
NY-18,498,1147,2039,3684
NY-19,224,423,648,1295
NY-2,700,1387,1554,3641
NY-20,297,843,1568,2708
NY-21,315,664,729,1708
NY-22,289,687,992,1968
NY-23,248,553,830,1631
NY-24,304,801,1087,2192
NY-25,327,831,1727,2885
NY-26,450,754,1081,2285
NY-27,307,871,1309,2487
NY-3,825,2127,4443,7395
NY-4,442,994,1496,2932
NY-5,580,645,811,2036
NY-6,126,173,453,752
NY-7,415,377,601,1393
NY-8,23,37,28,88
NY-9,507,452,565,1524
OH-1,2790,3413,4746,10949
OH-10,1073,1180,1383,3636
OH-11,1916,692,465,3073
OH-12,1431,2656,3383,7470
OH-13,1893,2162,1967,6022
OH-14,1408,2288,2918,6614
OH-15,793,1149,1046,2988
OH-16,1524,2439,2674,6637
OH-2,714,1112,1405,3231
OH-3,2463,2601,2862,7926
OH-4,1185,1896,1524,4605
OH-5,1007,1996,2092,5095
OH-6,1406,1737,1056,4199
OH-7,2065,3664,3587,9316
OH-8,1405,2262,2300,5967
OH-9,1439,1223,1014,3676
OK-1,2383,2848,2430,7661
OK-2,2226,1958,978,5162
OK-3,1970,2009,1178,5157
OK-4,2416,2549,1857,6822
OK-5,2019,2023,1772,5814
OR-1,1790,1682,1995,5467
OR-2,586,716,688,1990
OR-3,1294,1150,1546,3990
OR-4,493,451,470,1414
OR-5,350,340,457,1147
PA-1,273,111,109,493
PA-10,286,441,542,1269
PA-11,151,268,305,724
PA-12,305,630,981,1916
PA-13,784,708,1303,2795
PA-14,216,137,161,514
PA-15,330,588,866,1784
PA-16,217,447,778,1442
PA-17,181,225,180,586
PA-18,572,1064,1540,3176
PA-2,982,473,680,2135
PA-3,483,649,810,1942
PA-4,329,507,750,1586
PA-5,347,445,449,1241
PA-6,528,1188,2137,3853
PA-7,238,312,449,999
PA-8,326,734,1306,2366
PA-9,180,302,264,746
RI-1,155,216,439,810
RI-2,275,343,481,1099
SC-1,853,784,787,2424
SC-2,1696,1616,1577,4889
SC-3,955,885,726,2566
SC-4,1434,1441,1496,4371
SC-5,1024,881,737,2642
SC-6,2522,1413,1036,4971
SC-7,1407,1097,693,3197
SD-A,1660,2475,2479,6614
TN-1,2456,1968,1403,5827
TN-2,2488,2000,1951,6439
TN-3,4421,2914,1999,9334
TN-4,2346,1714,1174,5234
TN-5,3058,1899,1418,6375
TN-6,3527,2608,1694,7829
TN-7,4029,3515,3384,10928
TN-8,2580,1876,1601,6057
TN-9,6105,2231,1750,10086
TX-1,1010,886,619,2515
TX-10,270,222,178,670
TX-11,739,772,511,2022
TX-12,383,548,606,1537
TX-13,1130,1226,846,3202
TX-14,578,599,527,1704
TX-15,5336,2524,1011,8871
TX-16,1420,1039,504,2963
TX-17,763,735,660,2158
TX-18,352,140,81,573
TX-19,1485,1364,880,3729
TX-2,1160,1231,1361,3752
TX-20,225,119,67,411
TX-21,477,845,1532,2854
TX-22,1485,1792,2598,5875
TX-23,2397,1927,1507,5831
TX-24,1448,1036,1545,4029
TX-25,512,768,860,2140
TX-26,1480,2430,3402,7312
TX-27,887,622,406,1915
TX-28,1277,606,239,2122
TX-29,1392,751,274,2417
TX-3,1215,2317,4631,8163
TX-30,1122,352,129,1603
TX-31,995,1447,1847,4289
TX-32,686,541,815,2042
