,Recode: Race/ethnicity,,,,,,,,
Student: Full Congressional district,White,Black,Hispanic,Asian,Pacific Islander,Native American,Two or more,No response/Missing,Total
,N,N,N,N,N,N,N,N,N
TN,47910,20710,68620
TX,75518,49485,125003
UT,26311,14060,40371
VA,10869,13989,24858
VT,865,1317,2182
WA,8102,8864,16966
WI,23248,23421,46669
WV,7250,4039,11289
WY,3968,2096,6064
Total,1151069,772522,1923591

,Recode: Met 3 or more benchmarks,,
Student: Home state of residence [alpha],No,Yes,Total
,N,N,N
AK,370,118,488
AL,14902,1719,16621
AR,5754,1492,7246
AZ,7960,1535,9495
CA,21931,7676,29607
CO,10620,2346,12966
CT,565,393,958
DC,155,21,176
DE,112,56,168
FL,26179,5369,31548
GA,8592,1786,10378
HI,2419,314,2733
IA,2419,1112,3531
ID,731,299,1030
IL,30349,7602,37951
IN,3285,1245,4530
KS,3164,1050,4214
KY,13069,2691,15760
LA,13240,2314,15554
MA,796,534,1330
MD,1138,390,1528
ME,56,25,81
MI,23234,4428,27662
MN,4667,2297,6964
MO,7571,2521,10092
MS,7108,800,7908
MT,1618,417,2035
NC,24488,3241,27729
ND,904,239,1143
NE,2800,815,3615
NH,120,86,206
NJ,2649,1044,3693
NM,3181,591,3772
NV,1949,547,2496
NY,3482,2602,6084
OH,12593,4873,17466
OK,5815,1410,7225
OR,2055,497,2552
PA,2296,1214,3510
RI,164,43,207
SC,3837,885,4722
SD,827,360,1187
TN,16103,2894,18997
TX,21826,5228,27054
UT,6841,1173,8014
VA,1732,744,2476
VT,165,78,243
WA,2142,557,2699
WI,6410,2949,9359
WV,2458,674,3132
WY,1206,266,1472
Total,338047,83560,421607

,Recode: Met 3 or more benchmarks,,
Student: Home state of residence [alpha],No,Yes,Total
,N,N,N
AK,332,70,402
AL,17232,2238,19470
AR,6744,1848,8592
AZ,7400,1549,8949
CA,19931,7648,27579
CO,9781,2576,12357
CT,529,323,852
DC,181,27,208
DE,103,40,143
FL,30922,6560,37482
GA,11216,2297,13513
HI,2717,374,3091
IA,2017,913,2930
ID,712,410,1122
IL,29798,7287,37085
IN,3465,1125,4590
KS,3254,1190,4444
KY,13197,2940,16137
LA,13678,2197,15875
MA,832,528,1360
MD,1297,388,1685
ME,61,61,122
MI,24589,4977,29566
MN,4274,1815,6089
MO,8304,2774,11078
MS,10251,1225,11476
MT,1613,515,2128
NC,26069,3994,30063
ND,862,199,1061
NE,2896,832,3728
NH,98,96,194
NJ,2620,799,3419
NM,3489,689,4178
NV,1672,515,2187
NY,3878,2771,6649
OH,13062,4513,17575
OK,5951,1594,7545
OR,1899,638,2537
PA,2115,961,3076
RI,139,57,196
SC,4904,1121,6025
SD,839,330,1169
TN,16719,3069,19788
TX,21584,5531,27115
UT,6264,1334,7598
VA,2029,812,2841
VT,155,90,245
WA,1953,616,2569
WI,5525,2208,7733
WV,2345,683,3028
WY,1079,307,1386
Total,352576,87654,440230

,PSE: Student enrolled in college in Fall 2015,,
Student: Home state of residence [alpha],No,Yes,Total
,N,N,N
AK,1023,1882,2905
AL,25868,29625,55493
AR,9662,17358,27020
AZ,15191,20122,35313
CA,22101,99651,121752
CO,27786,29542,57328
